player_name,matches_played,innings_batted,not_outs,runs_scored,highest_inns_score,batting_average,balls_faced,batting_strike_rate,hundreds_scored,fifties_scored,duckes_scored,boundary_fours,boundary_sixes
BA Stokes,12,11,1,316,103*,31.6,221,142.98,1,1,0,22,15
SN Thakur,12,3,0,0,0,0,3,0,0,0,3,0,0
MK Tiwary,15,13,3,324,60,32.4,236,137.28,0,2,1,31,11
SS Tiwary,10,8,1,170,57,24.28,141,120.56,0,2,0,17,4
RA Tripathi,14,14,0,391,93,27.92,267,146.44,0,2,1,43,17
JD Unadkat,12,2,2,2,2*,-,5,40,0,0,0,0,0
Washington Sundar,11,5,4,9,5*,9,12,75,0,0,1,0,0
A Zampa,11,2,0,5,5,2.5,8,62.5,0,0,1,1,0
VR Aaron,24,5,4,41,17*,41,37,110.81,0,0,0,2,2
SA Abbott,2,2,0,15,14,7.5,13,115.38,0,0,0,1,1
Abdur Razzak,1,1,1,0,0*,-,2,0,0,0,0,0,0
MA Agarwal,29,24,1,433,64*,18.82,340,127.35,0,1,1,41,22
AN Ahmed,7,4,3,14,5*,14,6,233.33,0,0,0,3,0
B Akhil,14,10,5,63,27*,12.6,46,136.95,0,0,2,5,4
MM Ali,5,4,0,77,65,19.25,46,167.39,0,1,0,4,6
CJ Anderson,3,3,0,17,15,5.66,22,77.27,0,0,1,0,1
KP Appanna,14,3,2,2,1*,2,4,50,0,0,0,0,0
S Aravind,38,12,8,59,14*,14.75,57,103.5,0,0,2,7,0
KB Arun Karthik,16,7,2,48,19*,9.6,46,104.34,0,0,1,4,1
J Arunkumar,3,3,0,23,22,7.66,23,100,0,0,1,5,0
M Ashwin,2,1,0,1,1,1,2,50,0,0,0,0,0
Avesh Khan,1,-,-,-,-,-,-,-,-,-,-,-,-
S Badree,7,5,0,13,8,2.6,23,56.52,0,0,2,0,0
RR Bhatkal,1,1,0,0,0,0,2,0,0,0,1,0,0
STR Binny,22,13,4,141,21,15.66,115,122.6,0,0,0,11,7
R Bishnoi,3,3,0,19,18,6.33,17,111.76,0,0,1,1,2
MS Bisla,2,2,0,37,20,18.5,30,123.33,0,0,0,6,1
MV Boucher,27,21,8,388,50*,29.84,303,128.05,0,1,0,32,13
YS Chahal,69,11,8,15,4*,5,32,46.87,0,0,1,0,0
S Chanderpaul,3,3,0,25,16,8.33,31,80.64,0,0,0,4,0
B Chipli,3,3,0,20,10,6.66,28,71.42,0,0,0,3,0
A Choudhary,5,3,2,25,15*,25,20,125,0,0,0,1,1
DT Christian,2,2,0,6,4,3,15,40,0,0,0,0,0
C de Grandhomme,9,8,3,131,40,26.2,84,155.95,0,0,0,4,10
Q de Kock,8,8,0,201,53,25.12,162,124.07,0,1,0,20,8
AB de Villiers,113,103,24,3282,133*,41.54,2047,160.33,2,25,6,275,174
TM Dilshan,25,24,3,587,76*,27.95,534,109.92,0,5,3,78,8
AB Dinda,11,3,2,4,2*,4,12,33.33,0,0,1,0,0
ND Doshi,1,-,-,-,-,-,-,-,-,-,-,-,-
R Dravid,43,37,3,898,75*,26.41,731,122.84,0,4,3,97,17
D du Preez,2,1,0,10,10,10,13,76.92,0,0,0,0,0
CH Gayle,85,84,11,3163,175*,43.32,2071,152.72,5,19,5,248,239
SP Goswami,7,6,0,143,52,23.83,155,92.25,0,1,0,17,1
TM Head,10,10,3,205,75*,29.28,148,138.51,0,1,1,12,8
MC Henriques,10,9,5,165,44,41.25,125,132,0,0,0,20,3
Iqbal Abdulla,15,5,3,62,33*,31,52,119.23,0,0,1,8,1
KM Jadhav,17,16,4,309,69,25.75,218,141.74,0,1,0,27,12
W Jaffer,8,8,0,130,50,16.25,121,107.43,0,1,1,14,3
SB Jakati,1,-,-,-,-,-,-,-,-,-,-,-,-
CJ Jordan,9,1,0,3,3,3,4,75,0,0,0,0,0
SB Joshi,4,2,0,6,3,3,14,42.85,0,0,0,0,0
M Kaif,9,5,1,55,15,13.75,49,112.24,0,0,0,6,0
JH Kallis,42,42,6,1132,89*,31.44,1009,112.19,0,10,4,127,21
KD Karthik,16,11,0,141,28,12.81,117,120.51,0,0,0,15,4
M Kartik,11,2,1,2,2*,2,3,66.66,0,0,1,0,0
AA Kazi,1,-,-,-,-,-,-,-,-,-,-,-,-
SN Khan,25,18,7,228,45*,20.72,143,159.44,0,0,1,26,7
Z Khan,44,15,7,67,21,8.37,84,79.76,0,0,4,7,0
K Khejroliya,3,-,-,-,-,-,-,-,-,-,-,-,-
V Kohli,163,155,26,4948,113,38.35,3784,130.76,4,34,6,434,177
P Kumar,38,24,7,181,34,10.64,152,119.07,0,0,4,11,12
A Kumble,42,17,14,35,8,11.66,47,74.46,0,0,0,3,0
CK Langeveldt,3,1,0,8,8,8,8,100,0,0,0,0,1
BB McCullum,6,6,0,127,43,21.16,88,144.31,0,0,1,16,6
AB McDonald,5,4,1,47,30,15.66,37,127.02,0,0,1,6,2
NJ Maddinson,3,3,0,20,12,6.66,21,95.23,0,0,0,4,0
Mandeep Singh,40,32,5,597,54*,22.11,463,128.94,0,2,4,54,21
TS Mills,5,3,0,8,6,2.66,11,72.72,0,0,1,0,1
AF Milne,5,3,1,7,5,3.5,12,58.33,0,0,0,0,0
Misbah-ul-Haq,8,8,1,117,47*,16.71,81,144.44,0,0,2,10,6
A Mithun,16,8,3,34,11,6.8,26,130.76,0,0,1,4,1
Mohammed Siraj,11,4,2,25,14,12.5,22,113.63,0,0,0,2,1
EJG Morgan,6,4,1,35,17,11.66,30,116.66,0,0,0,2,1
JA Morkel,7,5,2,45,16,15,41,109.75,0,0,0,1,3
A Mukund,1,1,0,19,19,19,21,90.47,0,0,0,1,0
M Muralitharan,21,2,0,6,6,3,9,66.66,0,0,1,0,0
KK Nair,2,2,0,9,9,4.5,12,75,0,0,1,0,0
DP Nannes,2,-,-,-,-,-,-,-,-,-,-,-,-
P Negi,14,12,2,147,35,14.7,116,126.72,0,0,1,10,7
R Ninan,2,1,0,3,3,3,6,50,0,0,0,0,0
AA Noffke,1,1,0,9,9,9,10,90,0,0,0,1,0
MK Pandey,18,17,3,417,114*,29.78,344,121.22,1,0,2,44,11
Pankaj Singh,5,3,1,2,1*,1,4,50,0,0,1,0,0
P Parameswaran,3,1,1,0,0*,-,1,0,0,0,0,0,0
Parvez Rasool,4,1,0,10,10,10,9,111.11,0,0,0,1,0
HV Patel,36,14,5,47,10,5.22,34,138.23,0,0,3,2,3
PA Patel,18,18,3,358,57*,23.86,294,121.76,0,2,0,50,5
AUK Pathan,8,7,2,39,14,7.8,23,169.56,0,0,2,5,2
DT Patil,2,2,0,13,9,6.5,13,100,0,0,0,1,0
KP Pietersen,13,13,3,329,66*,32.9,242,135.95,0,2,2,31,10
LA Pomersbach,5,4,0,51,29,12.75,39,130.76,0,0,0,4,2
CA Pujara,14,10,0,143,51,14.3,152,94.07,0,1,1,19,1
KL Rahul,19,14,3,417,68*,37.9,287,145.29,0,4,1,41,16
R Rampaul,12,7,2,51,23*,10.2,50,102,0,0,3,3,2
S Rana,9,7,4,73,19*,24.33,65,112.3,0,0,0,7,1
KW Richardson,4,1,1,1,1*,-,1,100,0,0,0,0,0
RR Rossouw,5,5,0,53,24,10.6,51,103.92,0,0,1,3,3
JD Ryder,5,5,0,56,32,11.2,49,114.28,0,0,2,9,0
Sachin Baby,14,9,2,134,33,19.14,94,142.55,0,0,1,11,5
DJG Sammy,2,2,0,13,7,6.5,18,72.22,0,0,0,0,0
T Shamsi,4,-,-,-,-,-,-,-,-,-,-,-,-
KV Sharma,1,1,0,1,1,1,3,33.33,0,0,0,0,0
RP Singh,11,-,-,-,-,-,-,-,-,-,-,-,-
TG Southee,8,4,2,52,36*,26,46,113.04,0,0,0,5,1
S Sriram,1,1,0,27,27,27,29,93.1,0,0,0,3,0
B Stanlake,2,-,-,-,-,-,-,-,-,-,-,-,-
MA Starc,27,12,5,96,29,13.71,98,97.95,0,0,0,10,0
DW Steyn,28,8,2,15,8,2.5,25,60,0,0,3,2,0
J Syed Mohammad,11,5,3,29,13*,14.5,26,111.53,0,0,0,4,0
YV Takawale,5,5,0,104,45,20.8,91,114.28,0,0,2,17,1
LRPL Taylor,22,22,5,517,81*,30.41,364,142.03,0,2,1,35,31
SS Tiwary,40,30,10,487,52,24.35,464,104.95,0,1,0,26,17
JD Unadkat,13,2,2,2,1*,-,2,100,0,0,0,0,0
RV Uthappa,31,27,4,549,68*,23.86,388,141.49,0,4,1,39,30
RE van der Merwe,11,9,0,123,35,13.66,100,123,0,0,0,8,8
JJ van der Wath,3,3,1,18,14*,9,16,112.5,0,0,1,1,1
DL Vettori,22,10,5,54,20,10.8,54,100,0,0,1,4,2
R Vinay Kumar,64,29,11,237,26*,13.16,204,116.17,0,0,2,16,7
Vishnu Vinod,3,3,0,19,9,6.33,26,73.07,0,0,0,1,1
M Vohra,4,4,0,55,45,13.75,47,117.02,0,0,1,2,4
Washington Sundar,7,6,3,65,35,21.66,38,171.05,0,0,0,5,4
SR Watson,24,22,3,250,36,13.15,212,117.92,0,0,1,20,13
CL White,15,13,4,162,31*,18,135,120,0,0,1,11,7
D Wiese,15,8,4,127,47*,31.75,90,141.11,0,0,0,12,4
CR Woakes,5,4,2,17,11,8.5,19,89.47,0,0,0,1,1
UT Yadav,14,5,1,3,1*,0.75,11,27.27,0,0,2,0,0
Yuvraj Singh,14,14,3,376,83,34.18,278,135.25,0,3,1,22,28
VH Zol,3,2,0,29,16,14.5,26,111.53,0,0,0,3,1
Anand Rajan,6,-,-,-,-,-,-,-,-,-,-,-,-
Anirudh Singh,5,4,0,63,40,15.75,66,95.45,0,0,1,6,1
Ankit Sharma,9,4,1,18,15,6,13,138.46,0,0,0,0,2
A Ashish Reddy,9,5,1,35,10*,8.75,29,120.68,0,0,0,3,1
SB Bangar,11,7,1,47,17*,7.83,49,95.91,0,0,1,1,3
AA Bilakhia,7,7,2,69,22,13.8,85,81.17,0,0,0,5,0
B Chipli,19,17,6,244,61*,22.18,205,119.02,0,1,0,24,6
DT Christian,21,20,4,335,39,20.93,277,120.93,0,0,1,17,13
H Das,1,1,0,2,2,2,5,40,0,0,0,0,0
KH Devdhar,1,-,-,-,-,-,-,-,-,-,-,-,-
S Dhawan,29,29,3,969,95*,37.26,749,129.37,0,7,0,105,25
JP Duminy,19,19,6,449,74,34.53,364,123.35,0,3,0,22,19
FH Edwards,6,2,1,4,3*,4,5,80,0,0,0,0,0
HH Gibbs,33,33,3,805,69*,26.83,719,111.96,0,5,4,75,29
AC Gilchrist,46,46,1,1220,109*,27.11,828,147.34,1,7,4,136,64
MS Gony,9,3,1,4,4,2,10,40,0,0,1,0,0
Harmeet Singh,17,3,1,0,0*,0,1,0,0,0,2,0,0
DJ Harris,4,4,0,111,47,27.75,101,109.9,0,0,0,11,5
RJ Harris,16,10,5,66,15,13.2,57,115.78,0,0,0,2,2
IR Jaggi,5,5,1,43,25,10.75,58,74.13,0,0,0,3,0
Jaskaran Singh,8,5,4,8,4*,8,11,72.72,0,0,0,0,0
AA Jhunjhunwala,5,3,1,24,19,12,26,92.3,0,0,0,1,1
D Kalyankrishna,3,1,0,3,3,3,8,37.5,0,0,0,0,0
VVS Laxman,17,17,2,238,52,15.86,225,105.77,0,1,3,30,3
MJ Lumb,1,1,0,0,0,0,2,0,0,0,1,0,0
CA Lynn,1,1,0,6,6,6,9,66.66,0,0,0,1,0
I Malhotra,1,1,1,7,7*,-,4,175,0,0,0,1,0
MR Marsh,3,2,0,28,15,14,30,93.33,0,0,0,1,1
A Mishra,28,14,7,84,25*,12,69,121.73,0,0,4,10,1
MD Mishra,11,11,0,166,41,15.09,144,115.27,0,0,1,18,6
T Mishra,1,-,-,-,-,-,-,-,-,-,-,-,-
PP Ojha,54,14,6,6,2,0.75,19,31.57,0,0,5,0,0
PA Patel,14,13,2,194,45,17.63,165,117.57,0,0,1,19,4
V Pratap Singh,9,1,0,0,0,0,1,0,0,0,1,0,0
DB Ravi Teja,30,23,5,361,60,20.05,300,120.33,0,1,1,35,9
PA Reddy,5,4,1,73,42,24.33,59,123.72,0,0,0,6,2
KAJ Roach,2,1,0,10,10,10,9,111.11,0,0,0,1,0
BB Samantray,1,1,1,2,2*,-,2,100,0,0,0,0,0
KC Sangakkara,25,25,1,558,82,23.25,477,116.98,0,2,2,65,9
PM Sarvesh Kumar,2,1,1,1,1*,-,2,50,0,0,0,0,0
Shahid Afridi,10,9,1,81,33,10.12,46,176.08,0,0,1,7,6
I Sharma,12,5,5,4,1*,-,5,80,0,0,0,0,0
R Sharma,6,4,1,29,14*,9.66,26,111.53,0,0,1,3,1
RG Sharma,45,44,6,1170,76*,30.78,890,131.46,0,8,2,96,51
Shoaib Ahmed,8,3,1,1,1*,0.5,6,16.66,0,0,2,0,0
LPC Silva,3,3,1,40,23*,20,26,153.84,0,0,1,5,1
RP Singh,42,20,10,44,10,4.4,60,73.33,0,0,2,2,1
DR Smith,11,11,1,237,49,23.7,157,150.95,0,0,0,13,16
S Sohal,11,10,0,249,62,24.9,191,130.36,0,2,1,25,10
DW Steyn,24,11,2,55,13,6.11,56,98.21,0,0,0,3,1
SB Styris,10,9,2,126,36*,18,131,96.18,0,0,0,9,3
TP Sudhindra,3,1,1,0,0*,-,0,-,0,0,0,0,0
TL Suman,26,26,7,544,78*,28.63,447,121.7,0,2,2,41,20
B Sumanth,5,4,3,35,16,35,37,94.59,0,0,0,3,0
A Symonds,28,27,4,839,117*,36.47,612,137.09,1,5,0,65,38
J Theron,2,1,1,7,7*,-,6,116.66,0,0,0,1,0
WPUJC Vaas,13,11,3,81,20,10.12,73,110.95,0,0,3,2,3
Y Venugopal Rao,33,28,5,446,71*,19.39,367,121.52,0,2,2,31,19
DP Vijaykumar,9,2,2,1,1*,-,1,100,0,0,0,0,0
CL White,19,19,4,583,78,38.86,429,135.89,0,5,1,47,22
AS Yadav,8,6,1,49,16,9.8,39,125.64,0,0,1,5,2
DNT Zoysa,3,2,1,11,10*,11,9,122.22,0,0,0,1,0
